RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1274962	-1853447	-33.05	27.2	33:03:00S	27:12:00E	35HND1867343152	SI35-07	V	FRST		SF	05				N				RAVENSWOOD	Raven’s Wood	Raven's Wood	RAVENSWOOD	Raven’s Wood	Raven's Wood		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1216528	-1784270	-25.266667	30.95	25:16:00S	30:57:00E	36JTT9355603947	SG36-05	V	FRST		SF	07				N				BULTFONTEINSTAATBOS	Bultfontein Staatbos	Bultfontein Staatbos	BULTFONTEINSTAATBOS	Bultfontein Staatbos	Bultfontein Staatbos		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1216528	-1784263	-25.266667	30.95	25:16:00S	30:57:00E	36JTT9355603947	SG36-05	V	FRST		SF	07				V				BULTFONTEINFORESTRESERVE	Bultfontein Forest Reserve	Bultfontein Forest Reserve	BULTFONTEINFORESTRESERVE	Bultfontein Forest Reserve	Bultfontein Forest Reserve		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1228860	-1798615	-25.033333	30.916667	25:02:00S	30:55:00E	36JTT8979829744	SG36-05	V	FRST		SF	07				N				FRANKFORTSTAATSBOS	Frankfort Staatsbos	Frankfort Staatsbos	FRANKFORTSTAATSBOS	Frankfort Staatsbos	Frankfort Staatsbos		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1228860	-1798614	-25.033333	30.916667	25:02:00S	30:55:00E	36JTT8979829744	SG36-05	V	FRST		SF	07				V				FRANKFORTFORESTRESERVE	Frankfort Forest Reserve	Frankfort Forest Reserve	FRANKFORTFORESTRESERVE	Frankfort Forest Reserve	Frankfort Forest Reserve		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1244574	-1817350	-33.816667	23.333333	33:49:00S	23:20:00E	34HGH1596355723	SI34-08	V	FRST		SF	11				N				KLEINPALMIETRIVIERSTAATSBOS	Klein-Palmietrivier Staatsbos	Klein-Palmietrivier Staatsbos	KLEINPALMIETRIVIERSTAATSBOS	Klein-Palmietrivier Staatsbos	Klein-Palmietrivier Staatsbos		2004-04-23	1,2,3,4,5	1			1993-09-01		
3	-1232292	-1802465	-33.916667	23	33:55:00S	23:00:00E	34HFH8489045283	SI34-08	V	FRST		SF	11				N				GOUDVELDBOS	Goudveldbos	Goudveldbos	GOUDVELDBOS	Goudveldbos	Goudveldbos		2004-04-23	1,2,3,4,5	1			1993-09-01		
3	-1242799	-1815231	-27.666667	23.05	27:40:00S	23:03:00E	34JGQ0220338042	SG34-16	V	FRST		SF	08				V				KATHU	Kathu	Kathu	KATHU	Kathu	Kathu		2004-04-29	1,2,3,4,5				1993-09-01		
3	-1242799	-1815234	-27.666667	23.05	27:40:00S	23:03:00E	34JGQ0220338042	SG34-16	V	FRST		SF	08				D				KATHUFORESTRESERVE	Kathu Forest Reserve	Kathu Forest Reserve	KATHUFORESTRESERVE	Kathu Forest Reserve	Kathu Forest Reserve		2004-04-29	1,2,3,4,5	1			1993-09-01		
3	-1212358	-1779419	-24.85	30.883333	24:51:00S	30:53:00E	36JTT8611750001	SG36-01	V	FRST		SF	07				V				BLYDEFORESTRESERVE	Blyde Forest Reserve	Blyde Forest Reserve	BLYDEFORESTRESERVE	Blyde Forest Reserve	Blyde Forest Reserve		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1212358	-1779413	-24.85	30.883333	24:51:00S	30:53:00E	36JTT8611750001	SG36-01	V	FRST		SF	07				D				BLYDEBOSRESERWE	Blyde-Bosreserwe	Blyde-Bosreserwe	BLYDEBOSRESERWE	Blyde-Bosreserwe	Blyde-Bosreserwe		2004-05-11	1,2,3,4,5	1			1993-09-01		
